execution_mode,search_name,search_slug,split_kind,outer_num_folds,test_fold_id,candidate_name,candidate_slug,candidate_index,lambda_uv_ridge,latent_rank
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0001,xi_zero_candidate_0001,1,0.001,3
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0002,xi_zero_candidate_0002,2,0.005,3
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0003,xi_zero_candidate_0003,3,0.01,3
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0004,xi_zero_candidate_0004,4,0.05,3
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0005,xi_zero_candidate_0005,5,0.1,3
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0006,xi_zero_candidate_0006,6,0.5,3
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0007,xi_zero_candidate_0007,7,0.001,5
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0008,xi_zero_candidate_0008,8,0.005,5
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0009,xi_zero_candidate_0009,9,0.01,5
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0010,xi_zero_candidate_0010,10,0.05,5
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0011,xi_zero_candidate_0011,11,0.1,5
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0012,xi_zero_candidate_0012,12,0.5,5
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0013,xi_zero_candidate_0013,13,0.001,8
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0014,xi_zero_candidate_0014,14,0.005,8
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0015,xi_zero_candidate_0015,15,0.01,8
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0016,xi_zero_candidate_0016,16,0.05,8
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0017,xi_zero_candidate_0017,17,0.1,8
cv,xi_zero,xi_zero,train_cv,6,1,xi_zero__candidate_0018,xi_zero_candidate_0018,18,0.5,8
